Id,Victimas,Año,Tipo_calle,Direccion_Normalizada,X,Y,Victima,Acusado,Sexo,Edad,Gravedad
0,1,2019,SD,SD,-58.408911,-34.559658,CICLISTA,SD,Varon,57,SD
1,1,2019,SD,SD,-58.44351,-34.669125,AUTO,SD,SD,SD,SD
2,1,2019,SD,SD,-58.468335,-34.677556,SD,SD,Varon,SD,SD
3,1,2019,SD,SD,-58.437425,-34.647349,PEATON,SD,Varon,45,SD
4,4,2019,SD,SD,-58.398225,-34.604579,AUTO,SD,Mujer,45,SD
5,2,2019,SD,SD,-58.439392,-34.588108,MOTO,SD,Varon,27,SD
6,1,2019,SD,SD,-58.519116,-34.589282,MOTO,SD,Mujer,32,SD
7,1,2019,SD,SD,-58.528413,-34.650156,AUTO,SD,Varon,21,SD
8,1,2019,SD,SD,-58.371488,-34.598416,MOTO,SD,Mujer,21,SD
9,1,2019,SD,SD,-58.404748,-34.648387,AUTO,SD,Varon,37,SD
10,1,2019,SD,SD,-58.442125,-34.649498,AUTO,SD,SD,SD,SD
11,3,2019,SD,SD,-58.524662,-34.603255,AUTO,SD,Mujer,33,SD
12,1,2019,SD,SD,-58.376137,-34.651461,SD,SD,Varon,25,SD
13,1,2019,SD,SD,-58.374154,-34.591108,SD,SD,Varon,23,SD
14,1,2019,SD,SD,-58.505709,-34.654463,AUTO,SD,Varon,SD,SD
15,1,2019,SD,SD,-58.490436,-34.583403,MOTO,SD,Varon,42,SD
16,1,2019,SD,SD,-58.512313,-34.661307,AUTO,SD,Mujer,42,SD
17,1,2019,SD,SD,-58.399038,-34.598285,SD,SD,Varon,37,SD
18,1,2019,SD,SD,-58.373748,-34.604635,CICLISTA,SD,Varon,53,SD
19,1,2019,SD,SD,SD,SD,MOTO,SD,Mujer,1,SD
20,5,2019,SD,SD,-58.447266,-34.622984,TRANSPORTE PUBLICO,SD,Mujer,62,SD
21,1,2019,SD,SD,-58.415098,-34.620858,CAMIONETA,SD,Varon,SD,SD
22,1,2019,SD,SD,-58.37226,-34.596132,SD,SD,Mujer,67,SD
23,1,2019,SD,SD,-58.448666,-34.567927,PEATON,SD,Mujer,75,SD
24,1,2019,SD,SD,-58.468124,-34.552719,MOTO,SD,Mujer,40,SD
25,1,2019,SD,SD,-58.37226,-34.596132,MOTO,SD,Mujer,48,SD
26,1,2019,SD,SD,-58.474535,-34.53838,SD,SD,Varon,48,SD
27,1,2019,SD,SD,-58.398009,-34.638178,SD,SD,Mujer,27,SD
28,1,2019,SD,SD,-58.464704,-34.690814,SD,SD,Mujer,3,SD
29,2,2019,SD,SD,-58.39338,-34.609275,SD,SD,Mujer,33,SD
30,1,2019,SD,SD,-58.370261,-34.606522,SD,SD,Mujer,49,SD
31,1,2019,SD,SD,-58.373281,-34.590127,AUTO,SD,SD,SD,SD
32,1,2019,SD,SD,-58.461782,-34.612442,SD,SD,Varon,SD,SD
33,1,2019,SD,SD,SD,SD,SD,SD,Varon,25,SD
34,1,2019,SD,SD,-58.370261,-34.606522,MOTO,SD,Varon,34,SD
35,1,2019,SD,SD,-58.370256,-34.633619,SD,SD,Varon,27,SD
36,1,2019,SD,SD,-58.389014,-34.651172,SD,SD,Varon,34,SD
37,1,2019,SD,SD,-58.516946,-34.620214,SD,SD,Varon,52,SD
38,2,2019,SD,SD,-58.420172,-34.587788,SD,SD,Varon,44,SD
39,1,2019,SD,SD,-58.374037,-34.624434,SD,SD,Mujer,28,SD
40,1,2019,SD,SD,-58.458802,-34.572009,SD,SD,Varon,28,SD
41,1,2019,SD,SD,-58.409433,-34.598087,SD,SD,SD,SD,SD
42,2,2019,SD,SD,-58.471429,-34.560095,SD,SD,Varon,59,SD
43,1,2019,SD,SD,-58.502861,-34.634383,SD,SD,Varon,50,SD
44,1,2019,SD,SD,-58.402885,-34.61544,MOTO,SD,Varon,73,SD
45,1,2019,SD,SD,-58.49491,-34.547957,AUTO,SD,Varon,45,SD
46,1,2019,SD,SD,-58.455131,-34.605272,SD,SD,Varon,26,SD
47,1,2019,SD,SD,-58.480138,-34.556424,SD,SD,Varon,32,SD
48,1,2019,SD,SD,-58.403486,-34.648017,SD,SD,Varon,51,SD
49,1,2019,SD,SD,-58.514805,-34.66058,SD,SD,Varon,48,SD
50,1,2019,SD,SD,-58.411121,-34.606091,SD,SD,Mujer,37,SD
51,1,2019,SD,SD,-58.5013,-34.650495,SD,SD,Varon,37,SD
52,2,2019,SD,SD,-58.419078,-34.637644,SD,SD,Mujer,SD,SD
53,1,2019,SD,SD,-58.38184,-34.596726,SD,SD,Varon,16,SD
