Victimas,FECHA,Año,Mes,Dia,HORA,Franja_Horaria,Tipo_calle,Cruce,Direccion_Normalizada,COMUNA,X,Y,Victima,Acusado,Rol,Sexo,Edad
1,2016-01-01,2016,1,1,04:00:00,4,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO,AUTO,CONDUCTOR,MASCULINO,11-20
1,2016-01-01,2016,1,1,04:00:00,4,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO,AUTO,CONDUCTOR,MASCULINO,11-20
1,2016-01-01,2016,1,1,04:00:00,4,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO,AUTO,PEATON,MASCULINO,81+
1,2016-01-01,2016,1,1,04:00:00,4,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO,AUTO,CONDUCTOR,MASCULINO,21-30
1,2016-01-01,2016,1,1,04:00:00,4,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO,AUTO,PEATON,FEMENINO,81+
1,2016-01-01,2016,1,1,04:00:00,4,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO,AUTO,CONDUCTOR,MASCULINO,31-40
1,2016-01-02,2016,1,2,01:15:00,1,GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO,PASAJEROS,CONDUCTOR,MASCULINO,71-80
1,2016-01-02,2016,1,2,01:15:00,1,GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO,PASAJEROS,CICLISTA,FEMENINO,21-30
1,2016-01-02,2016,1,2,01:15:00,1,GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO,PASAJEROS,CONDUCTOR,MASCULINO,31-40
1,2016-01-02,2016,1,2,01:15:00,1,GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO,PASAJEROS,CONDUCTOR,MASCULINO,31-40
1,2016-01-02,2016,1,2,01:15:00,1,GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO,PASAJEROS,CONDUCTOR,FEMENINO,41-50
1,2016-01-03,2016,1,3,07:00:00,7,AVENIDA,No,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO,AUTO,CONDUCTOR,MASCULINO,31-40
1,2016-01-03,2016,1,3,07:00:00,7,AVENIDA,No,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,31-40
