Id,Victimas,Año,Tipo_calle,Direccion_Normalizada,Victima,Acusado
0,1,2023,SD,DIST. 9 DE JULIO,SD,SD
1,2,2023,SD,AV. CANTILO,SD,SD
2,1,2023,SD,AU DELLEPIANE,SD,SD
3,2,2023,SD,AU FRONDIZI,SD,SD
4,2,2023,SD,AU 25 DE MAYO,SD,SD
5,2,2023,SD,AU 25 DE MAYO,SD,SD
6,1,2023,SD,AU 25 DE MAYO,SD,SD
7,2,2023,SD,AU DELLEPIANE,SD,SD
8,1,2023,SD,AU 25 DE MAYO,SD,SD
9,2,2023,SD,AV. LUGONES,SD,SD
10,2,2023,SD,AU DELLEPIANE,SD,SD
11,1,2023,SD,AU DELLEPIANE,SD,SD
12,2,2023,SD,AU 25 DE MAYO,SD,SD
13,3,2023,SD,AU 25 DE MAYO,SD,SD
14,2,2023,SD,AU 25 DE MAYO,SD,SD
15,3,2023,SD,AU DELLEPIANE,SD,SD
16,1,2023,SD,AU FRONDIZI,SD,SD
17,1,2023,SD,AU CAMPORA,SD,SD
18,2,2023,SD,AU 25 DE MAYO,SD,SD
19,3,2023,SD,AU DELLEPIANE,SD,SD
20,1,2023,SD,AU 25 DE MAYO,SD,SD
21,7,2023,SD,AU 25 DE MAYO,SD,SD
22,1,2023,SD,AU 25 DE MAYO,SD,SD
23,1,2023,SD,AU 25 DE MAYO,SD,SD
24,1,2023,SD,AU PERITO MORENO,SD,SD
25,1,2023,SD,AU 25 DE MAYO,SD,SD
26,1,2023,SD,AU PERITO MORENO,SD,SD
27,1,2023,SD,AU PERITO MORENO,SD,SD
28,2,2023,SD,TRANSICION RAMAL 3,SD,SD
29,1,2023,SD,AU 25 DE MAYO,SD,SD
30,1,2023,SD,AU PERITO MORENO,SD,SD
31,2,2023,SD,AU DELLEPIANE,SD,SD
32,1,2023,SD,AU PERITO MORENO,SD,SD
33,1,2023,SD,AU PERITO MORENO,SD,SD
34,1,2023,SD,AU ILLIA,SD,SD
35,2,2023,SD,AU PERITO MORENO,SD,SD
36,2,2023,SD,AU PERITO MORENO,SD,SD
37,1,2023,SD,TRANSICION RAMAL 2,SD,SD
38,1,2023,SD,AU 25 DE MAYO,SD,SD
39,2,2023,SD,AU 25 DE MAYO,SD,SD
40,2,2023,SD,AU FRONDIZI,SD,SD
41,2,2023,SD,AU 25 DE MAYO,SD,SD
42,2,2023,SD,AU ILLIA,SD,SD
43,1,2023,SD,AU PERITO MORENO,SD,SD
44,2,2023,SD,AU 25 DE MAYO,SD,SD
45,1,2023,SD,AU ILLIA,SD,SD
46,1,2023,SD,AU CAMPORA,SD,SD
47,2,2023,SD,AU 25 DE MAYO,SD,SD
48,1,2023,SD,DIST. DELLEPIANE,SD,SD
49,1,2023,SD,AV. CANTILO,SD,SD
50,2,2023,SD,AV. LUGONES,SD,SD
51,2,2023,SD,AU DELLEPIANE,SD,SD
52,1,2023,SD,AU PERITO MORENO,SD,SD
53,1,2023,SD,AU 25 DE MAYO,SD,SD
54,4,2023,SD,AU DELLEPIANE,SD,SD
55,2,2023,SD,AU 25 DE MAYO,SD,SD
56,1,2023,SD,AV. LUGONES,SD,SD
57,3,2023,SD,AU 25 DE MAYO,SD,SD
58,2,2023,SD,AV. LUGONES,SD,SD
59,1,2023,SD,AU ILLIA,SD,SD
60,1,2023,SD,AU 25 DE MAYO,SD,SD
61,2,2023,SD,AU 25 DE MAYO,SD,SD
62,1,2023,SD,AU FRONDIZI,SD,SD
63,2,2023,SD,AU FRONDIZI,SD,SD
64,1,2023,SD,AU FRONDIZI,SD,SD
65,2,2023,SD,AV. LUGONES,SD,SD
66,2,2023,SD,AU 25 DE MAYO,SD,SD
67,3,2023,SD,AU 25 DE MAYO,SD,SD
68,1,2023,SD,AU 25 DE MAYO,SD,SD
69,1,2023,SD,AU 25 DE MAYO,SD,SD
70,1,2023,SD,AU ILLIA,SD,SD
71,2,2023,SD,AU DELLEPIANE,SD,SD
72,3,2023,SD,AU CAMPORA,SD,SD
73,1,2023,SD,AU 25 DE MAYO,SD,SD
74,1,2023,SD,AV. LUGONES,SD,SD
75,1,2023,SD,AU FRONDIZI,SD,SD
76,2,2023,SD,AU FRONDIZI,SD,SD
77,1,2023,SD,AU 25 DE MAYO,SD,SD
78,1,2023,SD,AU 25 DE MAYO,SD,SD
79,1,2023,SD,AU PERITO MORENO,SD,SD
80,4,2023,SD,AU DELLEPIANE,SD,SD
81,2,2023,SD,AU ILLIA,SD,SD
82,1,2023,SD,AU DELLEPIANE,SD,SD
83,2,2023,SD,AU 25 DE MAYO,SD,SD
84,2,2023,SD,AU 25 DE MAYO,SD,SD
85,2,2023,SD,AU PERITO MORENO,SD,SD
86,2,2023,SD,AU 25 DE MAYO,SD,SD
87,2,2023,SD,AU DELLEPIANE,SD,SD
88,2,2023,SD,AU 25 DE MAYO,SD,SD
89,1,2023,SD,AV. LUGONES,SD,SD
90,2,2023,SD,AU DELLEPIANE,SD,SD
91,2,2023,SD,AU DELLEPIANE,SD,SD
92,1,2023,SD,AU DELLEPIANE,SD,SD
93,1,2023,SD,AU 25 DE MAYO,SD,SD
94,2,2023,SD,AU DELLEPIANE,SD,SD
95,1,2023,SD,AU 25 DE MAYO,SD,SD
96,1,2023,SD,AV. LUGONES,SD,SD
97,1,2023,SD,PASEO DEL BAJO,SD,SD
98,2,2023,SD,AU FRONDIZI,SD,SD
99,1,2023,SD,AU ILLIA,SD,SD
100,3,2023,SD,AU FRONDIZI,SD,SD
101,2,2023,SD,AU 25 DE MAYO,SD,SD
102,1,2023,SD,AV. LUGONES,SD,SD
103,3,2023,SD,AU 25 DE MAYO,SD,SD
104,3,2023,SD,AU 25 DE MAYO,SD,SD
105,3,2023,SD,AU 25 DE MAYO,SD,SD
106,2,2023,SD,AU 25 DE MAYO,SD,SD
107,3,2023,SD,AU DELLEPIANE,SD,SD
108,1,2023,SD,AU FRONDIZI,SD,SD
109,2,2023,SD,AV. LUGONES,SD,SD
110,2,2023,SD,AU 25 DE MAYO,SD,SD
111,2,2023,SD,AU 25 DE MAYO,SD,SD
